line_number,title,label,speaker,gender,year,score,word
13090,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,weeks
13090,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,ahead
13090,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,eyes
13091,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,w.b.a
13091,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,remain
13091,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,firmly
13091,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,fixed
13112,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,supposed
13113,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,pick
13115,Pulp Fiction,speech,BUTCH,male,1994,8.9,cab
13115,Pulp Fiction,speech,BUTCH,male,1994,8.9,called
13116,Pulp Fiction,speech,BUTCH,male,1994,8.9,guy
13116,Pulp Fiction,speech,BUTCH,male,1994,8.9,supposed
13116,Pulp Fiction,speech,BUTCH,male,1994,8.9,pick
13120,Pulp Fiction,speech,BUTCH,male,1994,8.9,outta
13134,Pulp Fiction,speech,VINCENT,male,1994,8.9,doin
13136,Pulp Fiction,speech,MIA,female,1994,8.9,thanked
13137,Pulp Fiction,speech,MIA,female,1994,8.9,dinner
13148,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,what'cha
13150,Pulp Fiction,speech,ENGLISH DAVE,male,1994,8.9,booked
13152,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,prepared
13152,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,scour
13152,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,earth
13154,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,indo
13154,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,china
13154,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,hidin
13155,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,bowl
13155,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,rice
13155,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,ready
13155,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,pop
13156,Pulp Fiction,speech,MARSELLUS,male,1994,8.9,cap
13158,Pulp Fiction,speech,ENGLISH DAVE,male,1994,8.9,care
13165,Pulp Fiction,speech,BUTCH,male,1994,8.9,window
13174,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,mister
13180,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,fight
13180,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,fight
13181,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,fighter
13184,Pulp Fiction,speech,BUTCH,male,1994,8.9,idea
13193,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,killed
13193,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,boxing
13195,Pulp Fiction,speech,BUTCH,male,1994,8.9,dead
13197,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,dead
13201,Pulp Fiction,speech,BUTCH,male,1994,8.9,bout
13205,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,feel
13208,Pulp Fiction,speech,BUTCH,male,1994,8.9,feel
13210,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,killing
13210,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,beating
13211,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,death
13211,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,bare
13211,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,hands
13214,Pulp Fiction,speech,BUTCH,male,1994,8.9,kinda
13214,Pulp Fiction,speech,BUTCH,male,1994,8.9,weirdo
13216,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,subject
