line_number,title,script,label,speaker,gender
20734,Fight Club,Has Tyler been in charge longer and,speech,JACK,male
20735,Fight Club,longer?,speech,JACK,male
20736,Fight Club,EXT. PAPER STREET - DAY,other,NO SPEAKER,NA
20737,Fight Club,"A TAXI halts.  Jack leaps out, points to the GRUNGY CABBIE.",other,NO SPEAKER,NA
20738,Fight Club,JACK,character,NO SPEAKER,NA
20739,Fight Club,Wait here.,speech,JACK,male
20740,Fight Club,"INT. PAPER ST. HOUSE, LIVING ROOM/KITCHEN - MOMENTS LATER",other,NO SPEAKER,NA
20741,Fight Club,Jack walks in to find the place EMPTY and DESERTED.  He,other,NO SPEAKER,NA
20742,Fight Club,"continues on into the KITCHEN, gawks at BATHTUBS and",other,NO SPEAKER,NA
20743,Fight Club,"CANISTERS holding vast amounts of liquid.  There are HOSES,",other,NO SPEAKER,NA
20744,Fight Club,"GAS MASKS, BEAKERS, TEST TUBES and PUMPS.",other,NO SPEAKER,NA
20745,Fight Club,"He picks up a BOTTLE labeled """"NITRIC ACID.""""",other,NO SPEAKER,NA
20746,Fight Club,INT. TYLER'S ROOM,other,NO SPEAKER,NA
20747,Fight Club,"Jack sits by the PHONE, pulls out the HOTEL BILL, runs his",other,NO SPEAKER,NA
20748,Fight Club,finger up and down the list of PHONE NUMBERS...,other,NO SPEAKER,NA
20749,Fight Club,JACK (V.O.),character,NO SPEAKER,NA
20750,Fight Club,"Deja vu, all over again...",speech,JACK,male
20751,Fight Club,"Jack finger stops on a NUMBER.  He dials, phone to his ear.",other,NO SPEAKER,NA
20752,Fight Club,VOICE,character,NO SPEAKER,NA
20753,Fight Club,(from phone),other,NO SPEAKER,NA
20754,Fight Club,Eighteen-eighty-eight.,speech,VOICE,unclear
20755,Fight Club,"Jack sees a file on the wall: """"1888 CENTURY PARK EAST.""""",other,NO SPEAKER,NA
20756,Fight Club,JACK,character,NO SPEAKER,NA
20757,Fight Club,Who is this?,speech,JACK,male
20758,Fight Club,VOICE,character,NO SPEAKER,NA
20759,Fight Club,Maintenance.,speech,VOICE,unclear
20760,Fight Club,JACK,character,NO SPEAKER,NA
20761,Fight Club,"Listen, something is going to happen,",speech,JACK,male
20762,Fight Club,something terrible...,speech,JACK,male
20763,Fight Club,VOICE,character,NO SPEAKER,NA
20764,Fight Club,"Very good, Sir.",speech,VOICE,unclear
20765,Fight Club,JACK,character,NO SPEAKER,NA
20766,Fight Club,Excuse me?,speech,JACK,male
20767,Fight Club,VOICE,character,NO SPEAKER,NA
20768,Fight Club,"Don't worry about us, sir.  We're",speech,VOICE,unclear
20769,Fight Club,solid.,speech,VOICE,unclear
20770,Fight Club,JACK,character,NO SPEAKER,NA
20771,Fight Club,"Now wait, there's been a mix-up.",speech,JACK,male
20772,Fight Club,Everything's changed...,speech,JACK,male
20773,Fight Club,VOICE,character,NO SPEAKER,NA
20774,Fight Club,You told me you'd say that.,speech,VOICE,unclear
20775,Fight Club,JACK,character,NO SPEAKER,NA
20776,Fight Club,Abort the plan.,speech,JACK,male
20777,Fight Club,VOICE,character,NO SPEAKER,NA
20778,Fight Club,"You told me you'd say that, too.",speech,VOICE,unclear
20779,Fight Club,JACK,character,NO SPEAKER,NA
20780,Fight Club,Did I tell you I'd call you a fascist,speech,JACK,male
20781,Fight Club,dickhead?!,speech,JACK,male
20782,Fight Club,VOICE,character,NO SPEAKER,NA
20783,Fight Club,"Well, sir, you said you might.",speech,VOICE,unclear
20784,Fight Club,"Jack HANGS UP, desperately dials the next number on the bill.",other,NO SPEAKER,NA
20785,Fight Club,DIFFERENT VOICE,character,NO SPEAKER,NA
20786,Fight Club,(front phone),other,NO SPEAKER,NA
20787,Fight Club,Twenty-one-sixty.  Maintenance.,speech,DIFFERENT VOICE,unclear
20788,Fight Club,"Jack sees a file: """"2160 PICO BOULEVARD.""""  He throws the",other,NO SPEAKER,NA
20789,Fight Club,"phone, pocketing the bill.  He grabs up all the FILES.",other,NO SPEAKER,NA
20790,Fight Club,EXT. MARLA'S HOTEL - SUNSET,other,NO SPEAKER,NA
